"Category","Species","Weight","Height","Width","Length1","Length2","Length3"
1,Bream,500.0,14.2647,4.9274,30.0,33.0,38.0
1,Bream,500.0,14.9700,5.1049,30.0,33.0,38.0
1,Bream,850.0,17.2680,7.2756,34.0,37.0,41.0
1,Bream,1000.0,17.0486,6.8057,34.5,37.5,42.0
1,Bream,920.0,16.9446,6.7559,34.0,37.0,41.0
1,Bream,955.0,17.4806,6.1300,34.5,38.0,42.0
1,Bream,925.0,17.3333,6.1329,34.0,37.5,41.0
1,Bream,975.0,17.2100,6.7938,35.0,38.5,42.5
1,Bream,950.0,17.0576,6.3442,35.0,38.5,42.5
1,Bream,780.0,16.6558,5.1994,33.0,36.5,40.0
1,Bream,1000.0,16.6952,6.2923,33.5,36.5,40.5
1,Bream,1100.0,18.2221,6.3280,34.0,37.0,41.0
1,Bream,1000.0,17.3956,6.5209,35.0,38.5,42.5
1,Bream,1100.0,17.9842,7.1206,35.0,38.5,42.5
1,Bream,1200.0,18.4622,7.3965,36.0,39.0,43.4
1,Bream,1500.0,18.6736,7.2038,37.0,40.0,44.0
1,Bream,1450.0,18.7923,7.3253,37.2,40.0,44.0
1,Roach,20.0,4.1350,1.1378,11.5,12.2,13.4
1,Roach,69.0,6.0040,1.8505,15.3,16.2,18.2
1,Roach,78.0,6.4720,1.9837,15.4,16.5,18.3
1,Roach,87.0,6.4826,2.1427,16.0,17.0,18.8
1,Roach,120.0,8.1280,2.5174,18.6,20.0,21.2
1,Roach,55.0,6.1560,1.5153,15.8,16.9,18.5
1,Roach,110.0,7.1980,1.8401,17.5,18.6,20.0
1,Roach,120.0,8.0267,2.3072,18.5,20.0,21.2
1,Roach,130.0,8.0281,2.5072,18.5,20.0,21.2
1,Roach,150.0,8.9084,2.4858,19.5,21.0,24.0
1,Roach,145.0,9.1336,2.4510,20.0,21.4,23.7
1,Roach,196.0,10.2654,3.4807,22.0,23.5,25.8
1,Perch,17.2,3.4693,0.8380,9.8,10.6,11.2
1,Perch,39.2,5.1834,1.0620,13.6,14.3,15.2
1,Perch,29.5,4.3272,1.0789,12.5,13.0,14.0
1,Perch,81.0,7.5000,2.0274,18.5,20.0,22.0
1,Perch,86.0,7.9600,2.4858,20.5,22.0,23.7
1,Perch,80.0,7.5159,2.2149,18.7,20.0,22.0
1,Perch,85.0,8.4196,2.2494,20.5,22.0,23.7
1,Perch,100.0,8.1410,2.4449,21.5,22.9,25.0
1,Perch,120.0,8.8480,2.6792,23.0,24.5,27.0
1,Perch,135.0,9.4016,2.5174,24.0,25.5,29.0
1,Perch,110.0,9.1200,2.5680,24.0,25.0,28.0
1,Perch,130.0,9.3820,2.6491,24.5,26.0,28.5
1,Perch,120.0,8.8016,2.5246,23.0,24.5,27.0
1,Perch,345.0,12.3437,4.2310,31.0,33.0,36.0
1,Smelt,6.7,2.2662,0.1972,9.2,9.4,10.0
1,Smelt,7.5,2.2052,0.1722,9.4,9.6,10.2
1,Smelt,9.7,2.5306,0.1925,10.0,10.6,11.2
1,Smelt,9.8,2.5762,0.2043,10.6,10.9,11.5
1,Smelt,9.8,2.5832,0.2091,10.6,10.9,11.5
1,Smelt,10.5,2.6336,0.2055,10.8,11.0,11.6
1,Smelt,9.9,2.6232,0.2091,10.8,11.0,11.6
1,Smelt,10.9,2.7444,0.2091,11.2,11.4,11.8
1,Smelt,11.9,2.9141,0.2231,11.6,11.8,12.2
1,Smelt,12.0,3.0392,0.2618,12.0,12.2,12.6
1,Smelt,12.2,2.9876,0.2445,11.8,12.0,12.6
1,Smelt,13.4,3.0866,0.2558,12.2,12.4,12.8
1,Smelt,12.2,2.9966,0.2335,11.8,12.0,12.6
1,Smelt,13.3,3.0682,0.2558,12.2,12.4,12.8
1,Smelt,12.4,3.0182,0.2558,12.2,12.4,12.6
1,Smelt,12.2,3.0986,0.2558,12.2,12.4,12.6
1,Smelt,19.7,3.4296,0.3634,13.4,13.5,14.4
1,Smelt,19.9,3.3168,0.3566,13.4,13.5,14.4
1,Gudgeon,14.0,2.8472,0.2349,11.8,12.0,12.6
1,Gudgeon,11.8,2.7928,0.2483,11.6,12.0,12.6
1,Gudgeon,36.0,3.8696,0.9864,14.5,15.3,16.8
1,Gudgeon,30.0,3.7124,0.6871,13.4,14.0,15.0
1,Gudgeon,38.0,4.0168,0.8859,14.7,15.5,17.0
1,Gudgeon,20.0,3.6350,0.5661,13.6,14.2,15.0
1,Gudgeon,85.0,5.6215,1.7170,20.0,21.2,22.5
1,Pike,600.0,17.3856,6.2620,30.0,33.0,36.0
1,Pike,950.0,18.4418,7.1868,34.5,37.0,41.0
1,Pike,700.0,17.9022,6.8798,31.5,35.0,39.0
1,Pike,600.0,17.1371,6.0611,30.0,33.0,36.0
1,Pike,700.0,16.6777,5.9226,31.0,34.0,38.0
1,Pike,650.0,16.9741,6.1329,31.5,35.0,39.0
1,Perch,600.0,18.0000,6.0000,31.0,33.0,36.0
1,Perch,700.0,17.5000,6.2000,32.5,35.0,38.3
1,Perch,700.0,18.0000,6.2000,32.0,35.0,38.0
1,Pike,950.0,18.5000,6.2000,34.0,37.0,41.0
1,Bream,600.0,15.1520,6.5209,28.0,31.0,36.0
1,Bream,600.0,15.4274,6.1578,28.0,31.0,36.0
1,Bream,650.0,16.3088,6.3318,30.0,33.0,38.0
1,Bream,700.0,16.7151,5.9006,30.5,33.5,38.5
1,Bream,700.0,16.8327,6.1566,31.0,34.0,39.0
1,Bream,700.0,16.5994,6.0611,31.0,34.0,39.0
1,Bream,1000.0,18.0000,6.5000,34.0,37.0,41.0
1,Bream,1100.0,18.0000,6.8000,35.0,38.0,42.0
1,Bream,1200.0,18.5000,7.0000,36.0,39.0,43.0
1,Bream,1100.0,18.8000,7.0000,36.0,39.0,43.0
1,Bream,1500.0,19.5000,7.3000,38.0,41.0,45.0
1,Bream,1450.0,19.5000,7.3000,38.0,41.0,45.0
1,Roach,115.0,9.0500,2.3650,20.0,22.0,24.0
1,Roach,150.0,9.2500,2.2750,20.0,22.0,24.0
1,Roach,145.0,9.3000,2.3250,20.0,22.0,24.0
1,Roach,150.0,9.3500,2.3500,20.0,22.0,24.0
1,Roach,170.0,9.6000,2.4800,20.0,22.0,24.0
1,Roach,145.0,9.0200,2.3050,20.0,22.0,24.0
1,Roach,160.0,9.4200,2.3950,20.0,22.0,24.0
1,Roach,155.0,9.3500,2.3850,20.0,22.0,24.0
1,Smelt,7.0,2.0000,0.2000,8.5,8.6,9.2
1,Smelt,7.2,2.0500,0.2100,8.6,9.0,9.4
1,Smelt,9.8,2.8000,0.2400,10.3,10.5,11.0
1,Smelt,9.2,2.6000,0.2300,10.0,10.2,10.6
1,Smelt,9.0,2.5000,0.2200,9.8,10.0,10.4
1,Smelt,9.5,2.6000,0.2300,10.0,10.2,10.6
1,Smelt,10.0,2.7000,0.2400,10.5,10.6,11.2
1,Smelt,11.0,3.0000,0.2700,11.0,11.2,11.6
1,Smelt,12.0,3.1000,0.2800,11.6,11.8,12.2
1,Smelt,13.0,3.2000,0.2900,12.0,12.2,12.6
1,Smelt,18.0,3.7000,0.3600,13.4,13.6,14.4
1,Gudgeon,35.0,4.0000,0.9000,14.5,15.0,16.2
1,Gudgeon,30.0,3.7000,0.8000,14.0,14.5,15.6
1,Gudgeon,20.0,3.4000,0.6000,13.2,14.0,15.0
1,Gudgeon,16.0,3.2000,0.6000,12.5,13.0,14.0
1,Gudgeon,110.0,5.9000,1.6000,18.0,19.0,20.5
1,Gudgeon,115.0,6.1000,1.7000,18.5,19.5,21.0
1,Whitefish,25.0,3.0000,0.8000,12.0,12.2,12.6
1,Whitefish,20.0,2.8000,0.7000,11.6,12.0,12.6
1,Whitefish,45.0,3.7000,0.9000,14.0,14.5,16.0
1,Whitefish,85.0,5.8000,1.8000,20.0,21.0,22.5
1,Whitefish,74.0,5.2000,1.4000,18.5,19.0,20.5
1,Whitefish,78.0,5.6000,1.6000,18.7,19.5,20.9
1,Perch,110.0,9.0000,2.6000,24.0,25.5,28.0
1,Perch,125.0,9.7000,2.8000,25.0,26.5,29.0
1,Perch,145.0,9.9000,3.0000,26.0,27.5,30.0
1,Perch,150.0,10.4000,3.1000,26.5,28.0,31.0
1—truncated for brevity—
