BIOMETRIC OF  INTESTINAL VILLI OF  GIANT TREVALLY Caranx ignoblis																					

Treatment	Replication	Sample number	Code Data of fish sample	Lenght of villi (µm)	Average length  of villi per fish sample (µm)	Average length of villi per replication (µm)	Width of villi (µm)	Average width of villi per fish sample(µm)	Average width of villi per replication (µm)		Treatment	Replication	Sample number	Code Data of fish sample	Lenght of villi (µm)	Average length  of villi per fish sample (µm)	Average length of villi per replication (µm)	Width of villi (µm)	Average width of villi per fish sample(µm)	Average width of villi per replication (µm)	
		4	V1	103.614	92.268		30.849	36.126					4	V1	190.431	140.698		41.55589	34.28917		
			V2	70.334			34.241							V2	114.627			37.49781			
			V3	76.242			38.168							V3	160.959			36.45302			
			V4	77.773			42.052							V4	101.635			32.93677			
			V5	133.378			35.320							V5	135.837			23.00236			
		5	V1	77.420	88.736		40.977	37.597					5	V1	181.019	136.578		37.38005	32.432468		
			V2	87.204			35.539							V2	133.930			24.35017			
			V3	77.791			35.664							V3	134.076			26.47335			
			V4	107.671			34.779							V4	133.898			37.81502			
			V5	93.594			41.026							V5	99.968			36.14375			
A3	1	1	V1	88.373	90.573	95.167	38.982	37.861	38.442		D3	1	1	V1	69.267	126.773	133.350	22.24058	28.528356	30.7571884	
			V2	101.205			34.071							V2	161.452			35.57878			
			V3	75.407			39.031							V3	77.892			31.3168			
			V4	98.688			36.544							V4	178.408			25.27625			
			V5	89.194			40.677							V5	146.844			28.22937			
		2	V1	100.167	99.710		36.668	39.479					2	V1	167.816	129.717		29.95057	33.176778		
			V2	100.167			38.168							V2	99.601			31.6729			
			V3	87.720			40.812							V3	93.580			31.75378			
			V4	88.114			41.188							V4	188.737			35.28847			
			V5	122.383			40.559							V5	98.850			37.21817			
		3	V1	80.344	96.141		34.836	38.579					3	V1	87.485	137.965		39.29409	30.396202		
			V2	86.489			37.109							V2	85.697			35.86378			
			V3	99.454			43.587							V3	189.441			21.86159			
			V4	110.073			39.378							V4	171.889			25.12003			
			V5	104.346			37.982							V5	155.313			29.84152			
		4	V1	110.126	95.288		38.312	39.299					4	V1	87.713	137.531		25.76935	30.097052		
			V2	85.244			43.732							V2	177.706			30.17391			
			V3	85.066			40.901							V3	161.784			28.38785			
			V4	101.397			38.982							V4	167.451			30.02197			
			V5	94.608			34.566							V5	93.002			36.13218			
		5	V1	79.692	94.123		34.415	36.994					5	V1	136.874	134.766		33.07721	31.587554		
			V2	116.653			40.066							V2	149.714			31.86445			
			V3	103.065			36.678							V3	134.168			28.32231			
			V4	93.652			36.678							V4	86.795			33.93408			
			V5	77.555			37.135							V5	166.279			30.73972			
	2	1	V1	104.231	88.885	93.116	38.353	38.269	38.784			2	1	V1	114.229	122.583	128.420	24.21177	33.766024	30.4987216	
			V2	71.238			37.728							V2	100.902			30.81058			
			V3	76.730			38.115							V3	135.773			31.52927			
			V4	88.043			34.241							V4	158.638			39.43522			
			V5	104.182			42.906							V5	103.371			42.84328			
		2	V1	97.241	97.457		43.692	38.437					2	V1	151.646	140.278		23.42326	29.064546		
			V2	97.040			42.373							V2	174.787			27.98182			
			V3	113.227			35.362							V3	90.143			33.07017			
			V4	108.012			35.502							V4	158.350			26.10887			
			V5	71.764			35.255							V5	126.466			34.73861			
		3	V1	79.220	95.635		39.030	38.679					3	V1	81.019	124.578		37.38005	30.432468		
			V2	108.741			34.707							V2	133.930			24.35017			
			V3	97.414			39.829							V3	144.076			26.47335			
			V4	85.308			35.083							V4	123.898			37.81502			
			V5	107.491			44.746							V5	139.968			26.14375			
		4	V1	103.614	89.668		35.997	38.496					4	V1	114.229	140.383		24.21177	31.166024		
			V2	87.334			41.694							V2	217.902			30.81058			
			V3	76.242			37.452							V3	105.773			31.52927			
			V4	77.773			36.525							V4	158.638			39.43522			
			V5	103.378			40.810							V5	105.371			29.84328			
		5	V1	107.420	93.936		41.163	40.042					5	V1	71.646	114.278		23.42326	28.064546		
			V2	83.204			42.032							V2	174.787			22.98182			
			V3	77.791			38.693							V3	120.143			33.07017			
			V4	107.671			38.824							V4	108.350			36.10887			
			V5	93.594			39.496							V5	96.466			24.73861			
	3	1	V1	105.351	94.947	88.652	36.039	38.249	38.874			3	1	V1	112.942	123.578	137.744	34.31716	29.827074	29.8163612	
			V2	124.756			41.317							V2	108.120			28.48437			
			V3	81.963			36.803							V3	128.661			32.81435			
			V4	81.359			41.604							V4	149.461			26.50859			
			V5	81.306			35.485							V5	118.704			27.0109			
		2	V1	93.778	86.260		42.847	38.847					2	V1	169.597	149.765		28.36087	30.706668		
			V2	94.367			35.934							V2	119.535			30.54462			
			V3	71.972			40.312							V3	154.064			32.82084			
			V4	96.633			37.643							V4	172.973			32.53964			
			V5	74.548			37.497							V5	132.657			29.26737			
		3	V1	133.210	84.943		40.110	38.986					3	V1	161.801	138.102		28.45733	29.226426		
			V2	36.350			43.539							V2	105.291			24.02917			
			V3	114.271			36.530							V3	154.117			29.18101			
			V4	86.822			33.245							V4	103.634			31.56038			
			V5	54.062			41.507							V5	165.666			32.90424			
		4	V1	17.628	92.191		34.011	38.992					4	V1	190.431	140.698		41.55589	30.28917		
			V2	140.538			43.247							V2	114.627			27.49781			
			V3	59.137			42.882							V3	160.959			26.45302			
			V4	77.373			33.417							V4	101.635			32.93677			
			V5	166.282			41.404							V5	135.837			23.00236			
		5	V1	147.451	84.917		36.157	39.297					5	V1	181.019	136.578		27.38005	29.032468		
			V2	79.686			40.940							V2	133.930			34.35017			
			V3	71.009			35.142							V3	134.076			29.47335			
			V4	14.925			43.388							V4	133.898			27.81502			
			V5	111.515			40.856							V5	99.968			26.14375			
A4	1	1	V1	148.460	92.109	95.331	37.849	37.526	37.809		D4	1	1	V1	69.267	126.773	133.350	32.24058	30.528356	30.3571884	
			V2	78.278			34.241							V2	161.452			35.57878			
			V3	23.745			38.168							V3	77.892			31.3168			
			V4	60.540			42.052							V4	178.408			25.27625			
			V5	149.523			35.320							V5	146.844			28.22937			
		2	V1	136.791	96.620		40.977	37.997					2	V1	167.816	129.717		29.95057	31.176778		
			V2	36.631			35.539							V2	99.601			31.6729			
			V3	79.375			37.664							V3	93.580			31.75378			
			V4	89.613			34.779							V4	188.737			35.28847			
			V5	140.690			41.026							V5	98.850			27.21817			
		3	V1	97.586	92.772		37.586	37.572					3	V1	87.485	137.965		29.29409	28.396202		
			V2	42.550			35.550							V2	85.697			35.86378			
			V3	100.504			40.504							V3	189.441			21.86159			
			V4	120.279			38.279							V4	171.889			25.12003			
			V5	102.942			35.942							V5	155.313			29.84152			
		4	V1	107.127	98.355		37.127	38.355					4	V1	87.713	137.531		25.76935	30.097052		
			V2	91.784			41.784							V2	177.706			30.17391			
			V3	97.588			37.588							V3	161.784			28.38785			
			V4	103.072			33.072							V4	167.451			30.02197			
			V5	92.204			42.204							V5	93.002			36.13218			
		5	V1	104.618	96.797		38.618	37.597					5	V1	136.874	134.766		33.07721	31.587554		
			V2	98.529			38.529							V2	149.714			31.86445			
			V3	109.521			39.521							V3	134.168			28.32231			
			V4	66.041			36.041							V4	86.795			33.93408			
			V5	105.275			35.275							V5	166.279			30.73972			
	2	1	V1	108.411	85.853	86.429	38.411	39.853	38.322			2	1	V1	114.976	140.063	130.229	29.129	29.114736	30.4526408	
			V2	71.982			41.982							V2	130.289			32.05129			
			V3	82.548			42.548							V3	151.300			29.17508			
			V4	87.348			37.348							V4	166.665			26.98895			
			V5	78.975			38.975							V5	137.084			28.22936			
		2	V1	67.260	75.821		37.260	37.821					2	V1	108.466	112.961		29.3231	30.309592		
			V2	78.911			38.911							V2	118.507			33.06276			
			V3	82.763			32.763							V3	134.478			29.20921			
			V4	92.705			42.705							V4	109.022			30.31224			
			V5	57.468			37.468							V5	94.333			29.64065			
		3	V1	26.054	93.746		36.054	39.829					3	V1	94.286	119.799		24.59712	27.979982		
			V2	125.646			41.188							V2	174.008			32.17508			
			V3	110.485			38.118							V3	98.956			26.03934			
			V4	89.776			41.104							V4	132.578			29.03394			
			V5	116.768			42.683							V5	99.167			28.05443			
		4	V1	57.846	89.420		41.163	39.042					4	V1	99.684	143.556		26.37282	31.27134		
			V2	85.454			42.032							V2	155.265			38.48898			
			V3	94.745			38.693							V3	157.041			28.22084			
			V4	103.521			33.824							V4	166.140			34.25201			
			V5	105.531			39.496							V5	139.648			29.02205			
		5	V1	77.362	87.306		39.209	35.063					5	V1	136.874	134.766		33.07721	33.587554		
			V2	92.932			35.120							V2	149.714			31.86445			
			V3	88.841			32.593							V3	134.168			38.32231			
			V4	85.386			33.228							V4	86.795			33.93408			
			V5	92.007			35.165							V5	166.279			30.73972			
	3	1	V1	79.220	90.435	88.951	35.465	38.289	38.234			3	1	V1	86.874	102.856	131.000	33.07445	32.387002	30.567268	
			V2	108.741			35.073							V2	89.715			29.86445			
			V3	101.414			40.032							V3	84.168			34.32231			
			V4	75.308			40.844							V4	86.795			33.93408			
			V5	87.491			40.030							V5	166.729			30.73972			
		2	V1	103.614	92.268		36.157	39.297					2	V1	112.942	123.578		24.31716	27.827074		
			V2	70.334			40.940							V2	108.120			28.48437			
			V3	76.242			35.142							V3	128.661			32.81435			
			V4	77.773			43.388							V4	149.461			26.50859			
			V5	133.378			40.856							V5	118.704			27.0109			
		3	V1	133.210	84.943		40.849	38.126					3	V1	169.597	149.765		28.36087	30.706668		
			V2	36.350			34.241							V2	119.535			30.54462			
			V3	114.271			38.168							V3	154.064			32.82084			
			V4	86.822			42.052							V4	172.973			32.53964			
			V5	54.062			35.320							V5	132.657			29.26737			
		4	V1	17.628	92.191		40.977	37.597					4	V1	161.801	138.102		28.45733	29.626426		
			V2	140.538			35.539							V2	105.291			29.02917			
			V3	59.137			35.664							V3	154.117			29.18101			
			V4	77.373			34.779							V4	103.634			31.56038			
			V5	166.282			41.026							V5	165.666			29.90424			
		5	V1	147.451	84.917		38.982	37.861					5	V1	190.431	140.698		41.55589	32.28917		
			V2	79.686			34.071							V2	114.627			27.49781			
			V3	71.009			39.031							V3	160.959			26.45302			
			V4	14.925			36.544							V4	101.635			32.93677			
			V5	111.515			40.677							V5	135.837			33.00236			
B1	1	1	V1	125.445	95.039	104.379	34.355	25.384	24.185		E1	1	1	V1	67.816	62.398	110.057	26.77886	24.03543	24.391362	
			V2	101.987			18.824							V2	61.022			19.67733			
			V3	97.945			38.199							V3	53.059			24.77933			
			V4	71.545			20.155							V4	52.297			21.46517			
			V5	78.274			15.386							V5	77.793			27.47646			
		2	V1	85.605	98.295		21.211	23.401					2	V1	145.676	140.690		21.17621	23.55618		
			V2	87.348			18.168							V2	144.968			20.53164			
			V3	110.450			29.381							V3	148.295			24.26511			
			V4	122.657			21.465							V4	147.921			30.54073			
			V5	85.416			26.779							V5	116.589			21.26721			
		3	V1	108.686	105.434		21.978	22.665					3	V1	95.921	102.710		21.26721	25.356896		
			V2	129.509			29.129							V2	96.205			27.59357			
			V3	79.295			25.207							V3	141.158			27.38335			
			V4	86.097			18.030							V4	90.423			29.52449			
			V5	123.583			18.982							V5	89.843			21.01586			
		4	V1	76.820	105.142		24.236	23.674					4	V1	91.690	92.923		21.45647	25.495014		
			V2	92.638			23.508							V2	94.577			25.61469			
			V3	93.666			29.641							V3	92.559			21.45647			
			V4	85.765			18.982							V4	95.983			29.76008			
			V5	176.820			22.006							V5	89.808			29.18736			
		5	V1	109.996	117.986		23.829	25.800					5	V1	178.947	151.564		21.21739	23.51329		
			V2	115.592			25.671							V2	177.736			24.26511			
			V3	126.816			25.701							V3	159.729			19.36619			
			V4	119.119			29.381							V4	140.973			26.03934			
			V5	118.407			24.419							V5	100.437			26.67842			
	2	1	V1	116.287	142.417	117.942	17.519	25.125	23.792			2	1	V1	97.816	101.798	120.297	26.77886	24.43543	24.191362	
			V2	135.224			31.211							V2	98.022			19.67733			
			V3	164.713			21.026							V3	113.059			24.77933			
			V4	139.015			27.142							V4	122.297			23.46517			
			V5	156.845			28.726							V5	77.793			27.47646			
		2	V1	112.627	115.601		30.165	27.242					2	V1	145.676	140.690		21.17621	24.15618		
			V2	127.522			34.415							V2	144.968			27.53164			
			V3	111.312			19.489							V3	148.295			24.26511			
			V4	90.553			26.382							V4	147.921			26.54073			
			V5	135.991			25.758							V5	116.589			21.26721			
		3	V1	145.138	154.556		17.714	23.105					3	V1	95.921	104.510		21.26721	24.556896		
			V2	177.411			21.699							V2	96.205			27.59357			
			V3	222.261			15.446							V3	141.158			28.38335			
			V4	139.368			28.978							V4	99.423			24.52449			
			V5	88.602			31.686							V5	89.843			21.01586			
		4	V1	133.210	84.943		24.011	22.192					4	V1	91.690	102.923		21.45647	25.495014		
			V2	36.350			23.247							V2	134.577			25.61469			
			V3	114.271			22.882							V3	92.559			21.45647			
			V4	86.822			19.417							V4	95.983			29.76008			
			V5	54.062			21.404							V5	99.808			29.18736			
		5	V1	17.628	92.191		26.157	21.297					5	V1	178.947	151.564		21.21739	22.31329		
			V2	140.538			20.940							V2	177.736			19.26511			
			V3	59.137			25.142							V3	159.729			21.36619			
			V4	77.373			13.388							V4	140.973			26.03934			
			V5	166.282			20.856							V5	100.437			23.67842			
	3	1	V1	106.353	113.575	110.761	24.594	23.798	24.301			3	1	V1	95.921	113.510	125.297	21.45647	25.495014	24.351362	
			V2	101.139			21.879							V2	126.205			25.61469			
			V3	131.327			22.243							V3	141.158			21.45647			
			V4	109.216			26.543							V4	94.423			29.76008			
			V5	119.839			23.732							V5	109.843			29.18736			
		2	V1	100.222	120.788		18.685	23.638					2	V1	131.690	118.923		23.21739	23.91329		
			V2	97.099			22.538							V2	114.577			24.26511			
			V3	122.040			22.962							V3	92.559			21.36619			
			V4	131.997			26.039							V4	155.983			26.03934			
			V5	152.582			27.967							V5	99.808			24.67842			
		3	V1	108.507	102.417		19.853	23.979					3	V1	178.947	151.564		26.77886	24.03543		
			V2	72.269			26.126							V2	177.736			19.67733			
			V3	113.893			25.787							V3	159.729			24.77933			
			V4	96.780			25.129							V4	140.973			21.46517			
			V5	120.637			23.002							V5	100.437			27.47646			
		4	V1	97.251	104.743		20.811	23.647					4	V1	97.816	101.798		21.17621	25.35618		
			V2	128.128			25.267							V2	98.022			30.53164			
			V3	96.847			29.486							V3	113.059			23.26511			
			V4	102.275			22.282							V4	122.297			30.54073			
			V5	99.215			20.388							V5	77.793			21.26721			
		5	V1	115.277	112.281		25.458	26.442					5	V1	145.676	140.690		21.26721	22.956896		
			V2	93.985			26.419							V2	144.968			27.59357			
			V3	111.929			32.684							V3	148.295			20.38335			
			V4	129.476			34.485							V4	147.921			24.52449			
			V5	110.736			13.165							V5	116.589			21.01586			
B2	1	1	V1	72.622	72.185	119.659	12.759	24.236	24.766		E2	1	1	V1	128.631	126.244	128.888	18.38445	23.417898	24.186698	
			V2	91.562			19.129							V2	102.500			25.8873			
			V3	91.562			20.060							V3	138.164			19.00991			
			V4	81.224			25.997							V4	120.816			27.90771			
			V5	23.956			43.234							V5	141.108			25.90012			
		2	V1	72.532	67.581		16.945	16.538					2	V1	148.631	127.764		18.38445	24.017898		
			V2	57.973			14.254							V2	111.200			27.8873			
			V3	66.951			17.972							V3	128.164			26.00991			
			V4	73.833			18.342							V4	120.816			27.90771			
			V5	66.616			15.178							V5	130.008			19.90012			
		3	V1	138.473	139.685		18.574	26.283					3	V1	137.631	135.444		25.38445	25.461898		
			V2	136.822			30.015							V2	142.500			28.1073			
			V3	239.887			35.579							V3	135.164			19.00991			
			V4	112.900			28.296							V4	120.816			27.90771			
			V5	70.345			18.952							V5	141.108			26.90012			
		4	V1	209.847	125.111		33.187	29.536					4	V1	102.131	118.944		18.38445	23.817898		
			V2	108.315			38.033							V2	122.500			25.8873			
			V3	101.827			29.149							V3	138.164			23.00991			
			V4	93.249			30.691							V4	120.816			27.90771			
			V5	112.315			16.622							V5	111.108			23.90012			
		5	V1	162.940	193.732		21.604	27.234					5	V1	148.631	136.044		19.38445	24.217898		
			V2	169.383			22.074							V2	131.500			25.8873			
			V3	232.614			39.188							V3	138.164			26.00991			
			V4	246.626			28.704							V4	120.816			21.90771			
			V5	157.097			24.602							V5	141.108			27.90012			
	2	1	V1	102.876	109.176	110.344	13.934	19.872	24.864			2	1	V1	233.131	160.668	183.842	24.18221	23.48169	23.9772268	
			V2	102.061			13.934							V2	144.034			19.27582			
			V3	114.175			31.456							V3	197.029			26.5803			
			V4	123.901			23.903							V4	129.019			25.12341			
			V5	102.867			16.132							V5	100.125			22.24671			
		2	V1	136.791	116.620		30.849	28.126					2	V1	180.921	166.318		26.45673	23.942154		
			V2	136.631			24.241							V2	179.025			18.11022			
			V3	79.375			18.168							V3	129.983			27.31019			
			V4	89.613			32.052							V4	152.083			27.74311			
			V5	140.690			35.320							V5	189.576			20.09052			
		3	V1	97.586	104.772		1.977	27.797					3	V1	348.126	239.806		19.24774	22.835196		
			V2	102.550			25.539							V2	199.008			17.00746			
			V3	100.504			25.664							V3	297.977			26.42879			
			V4	120.279			24.779							V4	187.225			24.9769			
			V5	102.942			61.026							V5	166.695			26.51509			
		4	V1	127.127	114.355		27.586	24.172					4	V1	325.787	191.854		27.0558	24.56055		
			V2	91.784			22.550							V2	144.539			29.44918			
			V3	127.588			19.504							V3	146.938			26.61258			
			V4	133.072			28.279							V4	189.047			19.08227			
			V5	92.204			22.942							V5	152.958			20.60292			
		5	V1	104.618	106.797		27.127	24.355					5	V1	170.172	160.563		21.58809	25.066544		
			V2	98.529			21.784							V2	132.496			20.71079			
			V3	109.521			27.588							V3	156.797			25.96934			
			V4	116.041			23.072							V4	174.773			28.8381			
			V5	105.275			22.204							V5	168.576			28.2264			
	3	1	V1	116.945	108.461	110.554	23.401	25.232	24.231			3	1	V1	79.886	96.684	115.516	23.73164	24.791752	24.6344368	
			V2	119.347			35.886							V2	101.155			25.32506			
			V3	98.327			24.327							V3	85.321			19.13865			
			V4	99.232			23.853							V4	124.405			27.79189			
			V5	108.452			18.695							V5	92.650			27.97152			
		2	V1	123.778	114.260		22.847	24.847					2	V1	109.310	90.466		27.79404	26.831926		
			V2	94.367			25.934							V2	83.552			27.86847			
			V3	111.972			20.312							V3	74.106			29.29409			
			V4	96.633			27.643							V4	91.244			24.17319			
			V5	144.548			27.497							V5	94.118			25.02984			
		3	V1	133.210	120.943		20.110	24.386					3	V1	137.631	135.444		26.77886	24.03543		
			V2	136.350			23.539							V2	142.500			19.67733			
			V3	114.271			26.530							V3	135.164			24.77933			
			V4	86.822			23.245							V4	120.816			21.46517			
			V5	134.062			28.507							V5	141.108			27.47646			
		4	V1	17.628	92.191		24.011	23.992					4	V1	102.131	118.944		21.17621	22.55618		
			V2	140.538			24.247							V2	122.500			20.53164			
			V3	59.137			29.882							V3	138.164			24.26511			
			V4	77.373			23.417							V4	120.816			25.54073			
			V5	166.282			18.404							V5	111.108			21.26721			
		5	V1	147.451	116.917		26.157	22.697					5	V1	148.631	136.044		27.26721	24.956896		
